model_name,DS-R1-Llama,DS-R1-Qwen,Llama-4-Scout,Llama-3,Llama-3.1,Mistral-v0.3,Phi-3-Mini,Gemma-2,Phi-2,Phi-4
DS-R1-Llama,1.0,0.46926799364420974,0.28059369356987635,-0.6017180953559399,-0.2429888709629337,-0.5871303778302885,0.5970502513988399,-0.2129685136549955,-0.1548387287451728,0.24641141798400168
DS-R1-Qwen,0.46926799364420974,1.0,-0.12549116102763164,-0.8804940054941848,-0.6944826067288967,-0.649168276294375,0.35215869722540727,-0.5503151456571707,-0.7578941406992834,-0.7380306414210236
Llama-4-Scout,0.2805936935698763,-0.1254911610276317,1.0,0.2894160069194248,0.5854201558748198,-0.671653023853178,-0.3563483225498993,0.36544084137792887,0.027250637310442916,0.307510402676295
Llama-3,-0.6017180953559399,-0.8804940054941848,0.2894160069194248,1.0,0.8930405329481287,0.43100598909807436,-0.38883893912387496,0.8026662617509871,0.7539326416470087,0.5087342849535744
Llama-3.1,-0.2429888709629337,-0.6944826067288968,0.5854201558748198,0.8930405329481288,1.0,0.0528762645014139,-0.1823492021564492,0.9308543559585856,0.7576561659388462,0.5769795107564235
Mistral-v0.3,-0.5871303778302884,-0.649168276294375,-0.671653023853178,0.4310059890980744,0.052876264501413896,1.0,-0.031068488300060024,0.10195592378577323,0.5131872031397204,0.2949157051523128
Phi-3-Mini,0.5970502513988399,0.3521586972254073,-0.35634832254989923,-0.388838939123875,-0.1823492021564492,-0.03106848830006,1.0,0.11720180773462385,0.27857624827139654,0.1232784181803845
Gemma-2,-0.21296851365499556,-0.5503151456571707,0.36544084137792887,0.8026662617509872,0.9308543559585857,0.10195592378577323,0.11720180773462387,1.0,0.8335261007042518,0.46524020158607254
Phi-2,-0.1548387287451728,-0.7578941406992834,0.027250637310442916,0.7539326416470087,0.7576561659388461,0.5131872031397204,0.2785762482713965,0.8335261007042518,1.0,0.7494732325972551
Phi-4,0.24641141798400168,-0.7380306414210236,0.30751040267629504,0.5087342849535744,0.5769795107564234,0.29491570515231286,0.1232784181803845,0.46524020158607254,0.7494732325972552,1.0
